date_from,date_to
"January 7, 5629",5629-01-07
"January 14, 9042",9042-01-14
"January 5, 1914",1914-01-05
"January 7, 1716",1716-01-07
"January 28, 6459",6459-01-28
"January 21, 8231",8231-01-21
"January 21, 3927",3927-01-21
"January 5, 2150",2150-01-05
"January 18, 9272",9272-01-18
"January 2, 7612",7612-01-02
"January 2, 1429",1429-01-02
"January 15, 1670",1670-01-15
"January 17, 5385",5385-01-17
"January 10, 8959",8959-01-10
"January 22, 2865",2865-01-22
"January 19, 1633",1633-01-19
"January 12, 2262",2262-01-12
"January 10, 6743",6743-01-10
"January 2, 5191",5191-01-02
"January 5, 3756",3756-01-05
"January 31, 1247",1247-01-31
"January 3, 4785",4785-01-03
"January 2, 5196",5196-01-02
"January 5, 8773",8773-01-05
"January 9, 2943",2943-01-09
"January 21, 7774",7774-01-21
"January 11, 2811",2811-01-11
"January 23, 9382",9382-01-23
"January 24, 3389",3389-01-24
"January 8, 7643",7643-01-08
"January 24, 6001",6001-01-24
"January 26, 2484",2484-01-26
"January 14, 5553",5553-01-14
"January 28, 2140",2140-01-28
"January 6, 6584",6584-01-06
"January 15, 1313",1313-01-15
"January 9, 5004",5004-01-09
"January 13, 2626",2626-01-13
"January 24, 2233",2233-01-24
"January 31, 3897",3897-01-31
"January 30, 1714",1714-01-30
"January 26, 6047",6047-01-26
"January 19, 8248",8248-01-19
"January 1, 4410",4410-01-01
"January 2, 6409",6409-01-02
"January 20, 6596",6596-01-20
"January 7, 7685",7685-01-07
"January 14, 3120",3120-01-14
"January 19, 1689",1689-01-19
"January 2, 6889",6889-01-02
"January 1, 6785",6785-01-01
"January 9, 2638",2638-01-09
"January 31, 3801",3801-01-31
"January 11, 1194",1194-01-11
"January 11, 5154",5154-01-11
"January 5, 7163",7163-01-05
"January 27, 9151",9151-01-27
"January 14, 3819",3819-01-14
"January 15, 6080",6080-01-15
"January 8, 8487",8487-01-08
"January 16, 7256",7256-01-16
"January 8, 2833",2833-01-08
"January 16, 3591",3591-01-16
"January 19, 9428",9428-01-19
"January 20, 9359",9359-01-20
"January 6, 7324",7324-01-06
"January 6, 6648",6648-01-06
"January 27, 2710",2710-01-27
"January 4, 1634",1634-01-04
"January 23, 1908",1908-01-23
"January 19, 2497",2497-01-19
"January 30, 5226",5226-01-30
"January 23, 5168",5168-01-23
"January 5, 2007",2007-01-05
"January 10, 9525",9525-01-10
"January 8, 4029",4029-01-08
"January 8, 7404",7404-01-08
"January 25, 4100",4100-01-25
"January 7, 2213",2213-01-07
"January 9, 5429",5429-01-09
"January 31, 1384",1384-01-31
"January 3, 2109",2109-01-03
"January 7, 9065",9065-01-07
"January 9, 9053",9053-01-09
"January 28, 4067",4067-01-28
"January 11, 5033",5033-01-11
"January 2, 4169",4169-01-02
"January 13, 7075",7075-01-13
"January 27, 6196",6196-01-27
"January 17, 1006",1006-01-17
"January 27, 4629",4629-01-27
"January 23, 2892",2892-01-23
"January 18, 7105",7105-01-18
"January 13, 4231",4231-01-13
"January 6, 8113",8113-01-06
"January 12, 7359",7359-01-12
"January 27, 5574",5574-01-27
"January 10, 3839",3839-01-10
"January 10, 8187",8187-01-10
"January 25, 6475",6475-01-25
"January 28, 3332",3332-01-28
"January 31, 1181",1181-01-31
"January 15, 6469",6469-01-15
"January 3, 2982",2982-01-03
"January 12, 2115",2115-01-12
"January 17, 2686",2686-01-17
"January 30, 5371",5371-01-30
"January 25, 9533",9533-01-25
"January 3, 7137",7137-01-03
"January 24, 8520",8520-01-24
"January 17, 6243",6243-01-17
"January 6, 3320",3320-01-06
"January 22, 4234",4234-01-22
"January 24, 7002",7002-01-24
"January 7, 8648",8648-01-07
"January 8, 9667",9667-01-08
"January 16, 8173",8173-01-16
"January 6, 1614",1614-01-06
"January 26, 2508",2508-01-26
"January 21, 1420",1420-01-21
"January 11, 2477",2477-01-11
"January 27, 1869",1869-01-27
"January 17, 1441",1441-01-17
"January 13, 9931",9931-01-13
"January 3, 3002",3002-01-03
"January 5, 3577",3577-01-05
"January 3, 2538",2538-01-03
"January 20, 3227",3227-01-20
"January 11, 8031",8031-01-11
"January 5, 3137",3137-01-05
"January 15, 1154",1154-01-15
"January 11, 2466",2466-01-11
"January 5, 5163",5163-01-05
"January 20, 4497",4497-01-20
"January 18, 9415",9415-01-18
"January 5, 8371",8371-01-05
"January 5, 4209",4209-01-05
"January 27, 5841",5841-01-27
"January 28, 3650",3650-01-28
"January 2, 3278",3278-01-02
"January 8, 8556",8556-01-08
"January 31, 6703",6703-01-31
"January 6, 4605",4605-01-06
"January 30, 2525",2525-01-30
"January 8, 7903",7903-01-08
"January 24, 2986",2986-01-24
"January 10, 1818",1818-01-10
"January 13, 1114",1114-01-13
"January 1, 7899",7899-01-01
"January 5, 8545",8545-01-05
"January 21, 2629",2629-01-21
"January 25, 8031",8031-01-25
"January 8, 2236",2236-01-08
"January 27, 1413",1413-01-27
"January 1, 9792",9792-01-01
"January 19, 9446",9446-01-19
"January 22, 5059",5059-01-22
"January 17, 3492",3492-01-17
"January 21, 8165",8165-01-21
"January 30, 7319",7319-01-30
"January 3, 8173",8173-01-03
"January 24, 2092",2092-01-24
"January 20, 4267",4267-01-20
"January 4, 7462",7462-01-04
"January 28, 9238",9238-01-28
"January 28, 1004",1004-01-28
"January 21, 3850",3850-01-21
"January 14, 9322",9322-01-14
"January 27, 7700",7700-01-27
"January 21, 8949",8949-01-21
"January 14, 1209",1209-01-14
"January 10, 7424",7424-01-10
"January 5, 9552",9552-01-05
"January 3, 2751",2751-01-03
"January 5, 6108",6108-01-05
"January 4, 8345",8345-01-04
"January 16, 9596",9596-01-16
"January 10, 6176",6176-01-10
"January 25, 3958",3958-01-25
"January 18, 7050",7050-01-18
"January 14, 6412",6412-01-14
"January 7, 9885",9885-01-07
"January 1, 3843",3843-01-01
"January 21, 3659",3659-01-21
"January 6, 6444",6444-01-06
"January 4, 6838",6838-01-04
"January 11, 5214",5214-01-11
"January 11, 6308",6308-01-11
"January 16, 6283",6283-01-16
"January 6, 2646",2646-01-06
"January 17, 3658",3658-01-17
"January 1, 7847",7847-01-01
"January 16, 2727",2727-01-16
"January 15, 2873",2873-01-15
"January 28, 1262",1262-01-28
"January 6, 1231",1231-01-06
"January 21, 9033",9033-01-21
"January 28, 9030",9030-01-28
"January 18, 4469",4469-01-18
"January 19, 2539",2539-01-19
"January 25, 1118",1118-01-25
"January 21, 2308",2308-01-21
"January 25, 6103",6103-01-25
"January 5, 2233",2233-01-05
"January 15, 2683",2683-01-15
"January 17, 8439",8439-01-17
"January 11, 4721",4721-01-11
"January 26, 3651",3651-01-26
"January 18, 5850",5850-01-18
"January 19, 9501",9501-01-19
"January 4, 5164",5164-01-04
"January 24, 4997",4997-01-24
"January 31, 1160",1160-01-31
"January 13, 4254",4254-01-13
"January 26, 1752",1752-01-26
"January 19, 3222",3222-01-19
"January 6, 4512",4512-01-06
"January 17, 4519",4519-01-17
"January 23, 8700",8700-01-23
"January 21, 6119",6119-01-21
"January 7, 3315",3315-01-07
"January 24, 9550",9550-01-24
"January 7, 2378",2378-01-07
"January 1, 5492",5492-01-01
"January 12, 5097",5097-01-12
"January 18, 1511",1511-01-18
"January 21, 3592",3592-01-21
"January 29, 2424",2424-01-29
"January 3, 3571",3571-01-03
"January 30, 2653",2653-01-30
"January 18, 6059",6059-01-18
"January 5, 5713",5713-01-05
"January 13, 7699",7699-01-13
"January 28, 6767",6767-01-28
"January 26, 4493",4493-01-26
"January 4, 5556",5556-01-04
"January 6, 4618",4618-01-06
"January 12, 3859",3859-01-12
"January 16, 1402",1402-01-16
"January 9, 1430",1430-01-09
"January 31, 2425",2425-01-31
"January 19, 2947",2947-01-19
"February 19, 8144",8144-02-19
"February 19, 2620",2620-02-19
"February 1, 1338",1338-02-01
"February 11, 5721",5721-02-11
"February 17, 9106",9106-02-17
"February 3, 5832",5832-02-03
"February 24, 1539",1539-02-24
"February 16, 4461",4461-02-16
"February 3, 5668",5668-02-03
"February 18, 3632",3632-02-18
"February 20, 1729",1729-02-20
"February 4, 7877",7877-02-04
"February 21, 9511",9511-02-21
"February 11, 6660",6660-02-11
"February 31, 3913",3913-02-31
"February 25, 2054",2054-02-25
"February 31, 3230",3230-02-31
"February 2, 8982",8982-02-02
"February 20, 5468",5468-02-20
"February 1, 8863",8863-02-01
"February 26, 2207",2207-02-26
"February 16, 5849",5849-02-16
"February 11, 9047",9047-02-11
"February 28, 9229",9229-02-28
"February 5, 3509",3509-02-05
"February 10, 3875",3875-02-10
"February 7, 1251",1251-02-07
"February 27, 9935",9935-02-27
"February 10, 3565",3565-02-10
"February 20, 4662",4662-02-20
"February 5, 5286",5286-02-05
"February 26, 6878",6878-02-26
"February 27, 9355",9355-02-27
"February 18, 4313",4313-02-18
"February 15, 3042",3042-02-15
"February 1, 1148",1148-02-01
"February 4, 8339",8339-02-04
"February 9, 4184",4184-02-09
"February 24, 5630",5630-02-24
"February 31, 1284",1284-02-31
"February 13, 3620",3620-02-13
